date,ppo_agent,buy_and_hold,monthly_rebalance
2021-07-30,142922.5719267932,156872.72055423874,155163.59245705546
2021-08-02,141813.86075021132,157050.5229406674,155341.7104962297
2021-08-03,141646.99472040817,157490.8938282557,155776.45662038663
2021-08-04,141555.66030658854,157450.81795394287,155736.9181020532
2021-08-05,141588.65044224626,157565.00329797104,155849.5376624584
2021-08-06,141040.3633222657,156168.00127632823,154473.36494683955
2021-08-09,137560.74555591843,155531.4908587956,153859.2071244136
2021-08-10,135159.72363642228,155276.7439951529,153605.1087605162
2021-08-11,135195.5090427968,155706.76603620796,154015.30020894582
2021-08-12,137024.91595118455,155868.93209144392,154179.23726406743
2021-08-13,137058.95734694917,156974.0816596257,155255.83551306537
2021-08-16,139001.87396826613,157294.30631141976,155570.23961699603
2021-08-17,139685.8799863726,156754.14813051175,155030.9053290072
2021-08-18,139473.85192285283,156236.16245596277,154512.18852934695
2021-08-19,139574.34296511178,156574.02240187328,154848.3127615204
2021-08-20,139179.6514052431,157188.13006090376,155456.9558375561
2021-08-23,139262.42643548182,158293.98022773178,156548.51105317986
2021-08-24,140939.82935704413,158179.73340608555,156438.0540654794
2021-08-25,140869.76778205828,157803.03265558332,156072.47640230373
2021-08-26,139903.31470597876,157536.69269049,155799.48106904957
2021-08-27,140056.1998671294,158812.55540863206,157060.38102306795
2021-08-30,142137.17262151718,159234.7883243972,157487.2615746191
2021-08-31,141457.52050288106,159008.79819370797,157263.6221386797
2021-09-01,141729.09993151797,159133.59873252857,157385.10268745854
2021-09-02,141739.62578148703,159273.8523636896,157523.95839194814
2021-09-03,141375.95853589696,159412.20281136228,157658.04574573474
2021-09-07,142852.31003160932,158450.00314579078,156704.4875728233
2021-09-08,140099.92025641372,158440.26599448128,156692.66496783536
2021-09-09,139758.63099001342,158719.22212754123,156965.7152403434
2021-09-10,140372.22154290744,157784.71990537277,156041.05656746743
2021-09-13,139660.14519729372,158140.77147678446,156393.1614337464
2021-09-14,140125.76181458382,158467.23639378144,156719.89893876028
2021-09-15,141018.706475195,158670.56373088318,156913.60679532113
2021-09-16,140209.790486168,157781.02453694367,156038.19028818182
2021-09-17,137084.8330368909,156895.47262399338,155160.53231185878
2021-09-20,136859.28371266747,156337.21780196833,154615.14920226278
2021-09-21,137814.94517673316,156527.74742927798,154800.15196498198
2021-09-22,138718.59608573987,157195.36628302105,155454.67046694155
2021-09-23,138221.1685352384,156793.9892174067,155029.183497229
2021-09-24,136644.31244568768,156525.49026660042,154760.6281165797
2021-09-27,136464.98385675915,156136.16353778163,154373.69237574528
2021-09-28,136736.82036172473,153833.37314544964,152104.73923129635
2021-09-29,135405.46082308798,153749.49240178106,152024.44025047877
2021-09-30,134810.4980020242,153811.99859217802,152080.15718660233
2021-10-01,137179.50667801363,154693.7834851084,152940.8719705592
2021-10-04,137496.08578980187,153708.5748618157,151963.428292986
2021-10-05,138112.87199655635,154006.2193024055,152248.70379740055
2021-10-06,137484.000167192,154587.7102936061,152823.25140024623
2021-10-07,137852.30208948435,154655.14046513868,152893.09591225267
2021-10-08,137136.94519567583,154241.19231103305,152484.56788783587
2021-10-11,,153641.97904976632,151888.43866590474
2021-10-12,137186.65945700978,154126.12430528985,152356.8379765621
2021-10-13,137806.37506101272,155332.2001596643,153548.4469831896
2021-10-14,140231.939740845,156618.30717602017,154820.3987181275
2021-10-15,140586.58983316092,156368.2135431223,154576.15288121806
2021-10-18,138392.1114462058,156844.371833036,155052.48489248796
2021-10-19,138063.30552546438,156991.83980653944,155210.61510007584
2021-10-20,138492.2944660039,157140.27097828986,155361.05396283104
2021-10-21,139678.9031587035,157345.64971552353,155572.8451570708
2021-10-22,139557.5255279243,157590.52593145575,155793.12905512893
2021-10-25,,158249.1902610275,156456.41845356594
2021-10-26,140402.29644000612,158407.7174915079,156608.9300794224
2021-10-27,139390.85556983817,159000.4675156153,157179.0921470392
2021-10-28,139765.72798033291,159545.25931123891,157735.14464348534
2021-10-29,139738.3366828972,159587.24518143604,157786.2544879278
2021-11-01,138576.36702869728,159688.07681333742,157886.65674581862
2021-11-02,139282.49691444729,160026.7632943593,158220.6191390195
2021-11-03,138997.21098119303,159962.16590175405,158160.69604278225
2021-11-04,137860.58352368503,161227.88981738538,159412.1526951557
2021-11-05,139415.46194074096,162271.11515230092,160437.07097094928
2021-11-08,141210.114789248,162307.58576024856,160473.14265799176
2021-11-09,141702.22700807487,162559.43084900567,160716.82578883547
2021-11-10,142391.09181346206,161578.68631597,159745.3319629014
2021-11-11,,161811.7947619121,159980.51142372462
2021-11-12,143883.17032667747,162318.68262344805,160483.21985556342
2021-11-15,144154.62121025554,161861.56765931912,160037.07128276982
2021-11-16,143923.61762830024,161903.69347800402,160076.093895415
2021-11-17,142903.31465849542,162397.5714769997,160563.02085406694
2021-11-18,144192.570963793,162865.26855744483,161023.50070841273
2021-11-19,143746.74602873792,163080.50783742988,161225.7489161869
2021-11-22,142678.07123278736,161493.2882226261,159643.76307499557
2021-11-23,139523.27407377466,160645.36357614808,158810.44737512496
2021-11-24,138327.1998639423,161313.89689356028,159461.29148790357
2021-11-26,,160745.81346574548,158866.57922244567
2021-11-29,138211.6139994644,161538.06989423203,159647.78529239027
2021-11-30,138032.21389410328,160694.30833876083,158806.11450999626
2021-12-01,137115.12640960357,160125.70769189735,158242.225390955
2021-12-02,137636.07055120615,160712.55229589803,158814.4727414869
2021-12-03,136901.65452485916,160524.94901752545,158635.85671711515
2021-12-06,138014.675044902,160642.48437578708,158734.44100842287
2021-12-07,137677.2151230835,162126.11214773555,160186.33556143122
2021-12-08,138179.76290300942,161811.13160686233,159883.2114832576
2021-12-09,138241.31993058402,161105.55817934062,159172.12767115727
2021-12-10,137403.48630837508,161814.43928097715,159879.2980406121
2021-12-13,137979.1861543186,161623.0234085982,159669.81634559992
2021-12-14,138321.54316761758,160687.08197581582,158743.70399758584
2021-12-15,137041.20525430277,161747.68770044725,159791.42028776975
2021-12-16,137626.10399694514,161040.31326176182,159082.30843036782
2021-12-17,139251.41151144114,160829.9649431046,158863.52765502446
2021-12-20,138959.49942406875,159795.9075991361,157843.8427469883
2021-12-21,138366.5955235186,160946.5303292559,158966.8643001531
2021-12-22,138322.59622189918,162111.9266714571,160119.76618721717
2021-12-23,139614.88216356034,162349.84987817568,160363.1106223258
2021-12-27,139922.63510494065,163501.57723413556,161511.15665623947
2021-12-28,140263.32569651655,163049.8044946088,161065.98693809868
2021-12-29,139663.6631802663,162723.65931873652,160756.86418959303
2021-12-30,139613.60734223554,163042.95635337388,161058.15077260914
2021-12-31,140602.565243461,163043.87986662422,161055.85430295783
2022-01-03,141544.10506746828,162183.0534211086,160226.8771028635
2022-01-04,139393.2984959027,161855.54580676308,159897.3828191499
2022-01-05,140388.1236199701,159960.54159857152,158017.63687455864
2022-01-06,139950.7060666579,159602.0028039812,157659.2028851353
2022-01-07,138277.97590184852,159048.73266598344,157119.08393092992
2022-01-10,138881.86794772363,159205.06382826733,157272.18798977393
2022-01-11,139296.13240015577,160563.873090029,158605.34249452318
2022-01-12,140954.66244566452,160742.78895221997,158783.53324627748
2022-01-13,141318.43286946858,159671.8805225803,157725.48817547105
2022-01-14,140840.50693929158,159303.3943302324,157356.57523418588
2022-01-18,140430.7592705659,157430.59433511074,155530.2233003173
2022-01-19,140176.92077878996,157487.22630901344,155608.5713526148
2022-01-20,142363.84308773107,156847.928912858,154995.041746692
2022-01-21,142009.8770095354,155633.43852577594,153849.88583123498
2022-01-24,141544.543965686,155817.77694453768,154021.19055485268
2022-01-25,142306.3453361831,154764.19304061192,153047.41113431565
2022-01-26,142738.78073535356,153763.37654060093,152030.1012181085
2022-01-27,140459.03940456768,153464.2938048826,151746.31640990791
2022-01-28,138684.52466540516,155108.53148217106,153255.82528354085
2022-01-31,138296.91231982378,156682.7073272046,154732.3843847852
2022-02-01,139118.63780762308,157032.54574182804,155061.15848365918
2022-02-02,139235.60640985807,157813.07769091107,155833.6616540629
2022-02-03,139742.381972014,155503.14850210038,153538.03379304902
2022-02-04,139518.099044539,155619.92896109252,153646.61619771368
2022-02-07,139722.47125993628,155520.21955330425,153551.80984346947
2022-02-08,140736.8181905902,156012.71135131738,154038.305862102
2022-02-09,141160.80997436558,157295.3869064992,155304.19915365698
2022-02-10,141646.15391716047,155378.824122269,153413.37565866177
2022-02-11,141090.82236393643,154841.67158065192,152881.2257162826
2022-02-14,143729.6080981939,154550.79733635357,152607.3354044029
2022-02-15,144475.44695972066,155176.07778551665,153190.58650001182
2022-02-16,143129.6992222158,155708.94281954563,153721.86910064888
2022-02-17,144582.92002028567,154783.19839378062,152831.31381030616
2022-02-18,146514.20651669998,154535.69149926878,152593.13268754855
2022-02-22,146408.70402278632,154033.0223945013,152121.1192927496
2022-02-23,146702.1459789172,152414.51465195205,150593.36859071953
2022-02-24,147322.76930003313,153721.07449330075,151781.49300081475
2022-02-25,146407.61839711154,154799.0425008957,152797.41391871317
2022-02-28,145943.52173401826,155808.74959534276,153795.08836472494
2022-03-01,147448.20729856126,155791.77468593002,153837.40813721606
2022-03-02,150066.55915190995,155492.82918703184,153507.67558682963
2022-03-03,148518.30937931823,155401.29545985072,153410.3055445346
2022-03-04,149384.83355304907,155724.39285375425,153736.25807086713
2022-03-07,151716.567489232,153885.6870993565,151972.64417463378
2022-03-08,153868.80437182545,154038.94928414642,152183.1509707625
2022-03-09,157979.6541208889,154756.7168059583,152723.49055946176
2022-03-10,153391.56104926433,153922.35683450746,151922.90609713265
2022-03-11,153843.83952872033,152776.39680500087,150802.44654396013
2022-03-14,152769.32149688623,150786.71873826496,148852.54386299566
2022-03-15,150483.21999921644,151779.10218110165,149745.41094793886
2022-03-16,147751.58602602914,154068.53014656377,151971.355403428
2022-03-17,148686.45041968106,154756.4233542988,152663.08563367528
2022-03-18,149400.19291253563,155829.25732326432,153703.8676249736
2022-03-21,148144.1236450903,155241.46405709072,153155.24620175874
2022-03-22,149217.40194947724,155592.05660659954,153540.19922789995
2022-03-23,148166.24972810745,155851.0986453337,153718.9814334185
2022-03-24,150152.80176071762,156993.11593117032,154884.6445775141
2022-03-25,151226.11600450848,156553.23350063435,154482.63203359314
2022-03-28,150610.34871101164,156955.28797163517,154871.02626661895
2022-03-29,147934.12066834775,158137.79165689595,156060.09029864063
2022-03-30,148016.38850979626,158097.00467380343,155970.26619782246
2022-03-31,149187.5882849826,157310.33810195827,155152.31919635108
2022-04-01,149236.4246494224,157252.84518308644,155083.3536480639
2022-04-04,148306.30862140906,158100.78530883833,155917.6608328245
2022-04-05,149017.2539401786,156083.9533631265,153923.7976425766
2022-04-06,148065.85448638673,154911.68643561855,152767.6000495282
2022-04-07,148390.32960824523,155033.81732273215,152893.44959268183
2022-04-08,148938.17360190512,154373.08470998102,152256.28605184902
2022-04-11,149842.0356659956,152776.6923895111,150709.7135553834
2022-04-12,150544.7488793321,152735.1167700546,150683.40788788736
2022-04-13,151677.4316588253,153917.05930978496,151831.59208817277
2022-04-14,152402.60263762285,152105.48338499886,150082.99666801278
2022-04-18,151878.20708563947,152084.43308624334,150074.36198386995
2022-04-19,152335.56489627867,152564.9821645653,150514.17384119504
2022-04-20,150100.10081559335,152863.5711267593,150779.6475126968
2022-04-21,150833.65562385667,151430.5440185836,149386.7170858295
2022-04-22,150288.19988672156,149318.62528733653,147326.41437855642
2022-04-25,148826.85698641435,149640.07994735512,147582.510932863
2022-04-26,146205.9253202407,147993.35301193863,146001.49416629542
2022-04-27,146406.97004048142,147440.48669589768,145452.61185792196
2022-04-28,145309.06716346458,149433.07339298565,147342.2594917446
2022-04-29,146100.58734356685,146595.34016095687,144622.8475835495
2022-05-02,146045.35947233165,146205.02041574972,144178.4369804862
2022-05-03,143373.3304973533,146639.5813080384,144604.63347162897
2022-05-04,143754.31562743883,148987.31024517605,146939.62776024445
2022-05-05,145170.07647662392,145492.1269167765,143434.52884699934
2022-05-06,144577.91271394992,144597.15484750268,142558.1577151493
2022-05-09,144796.6424829715,142380.6402440273,140349.72072191673
2022-05-10,142721.9353513995,142810.17026599814,140761.03685624985
2022-05-11,141547.2614100854,142287.87448132757,140257.05456490794
2022-05-12,142684.75454198246,141706.6071306837,139683.4156861894
2022-05-13,140527.3653559924,142788.33110703158,140692.77354170475
2022-05-16,139415.50725438097,142584.27153045955,140489.36649002187
2022-05-17,140710.02635403982,143383.25661713275,141263.44586465455
2022-05-18,139845.58123893186,141446.06791168815,139327.40259231612
2022-05-19,139897.92784102488,141609.88597110708,139495.07008648728
2022-05-20,141891.32882208275,141875.4605179057,139766.02365558804
2022-05-23,141998.04407132775,142543.22280272754,140378.58945216864
2022-05-24,142646.095943489,142506.7701078314,140370.63138358135
2022-05-25,143682.12671777874,143098.29434749472,140928.23436004075
2022-05-26,142855.34636796775,144283.30443231802,142049.69483769548
2022-05-27,142614.13791884773,146016.431394576,143732.0988169984
2022-05-31,142724.30394564432,144860.23584759887,142594.55549574725
2022-06-01,141311.8985301399,144559.61841158857,142290.41133523418
2022-06-02,142191.4962872113,146272.78499349186,143972.24258900926
2022-06-03,143934.52106119215,144676.8976024409,142391.44630137883
2022-06-06,142478.21621206723,144195.05467835107,141915.82560075336
2022-06-07,141848.15078183103,145219.88951581417,142921.8447805463
2022-06-08,142774.0537855487,144408.23840556992,142124.14507135883
2022-06-09,142630.51567021414,142949.41307760603,140685.41075364244
2022-06-10,142169.5250200242,141305.2157093638,139102.65746185978
2022-06-13,144019.84896329476,137261.794605033,135171.76030701303
2022-06-14,140225.29198934938,136650.45125480555,134559.73143571813
2022-06-15,139109.95653296457,138601.55686635172,136442.2521506236
2022-06-16,140929.73046805622,137097.47278028956,135055.69557928044
2022-06-17,142466.01863441843,137352.87324080872,135267.1555362131
2022-06-21,141320.85352830068,138171.63361556266,135977.30330109055
2022-06-22,140809.2511647205,138961.36000153364,136758.4351281448
2022-06-23,141382.51880886094,139708.18725974925,137455.95074741222
2022-06-24,140560.77984012562,141136.7132939046,138776.0578747855
2022-06-27,140462.53852855132,140534.27853773028,138190.04714991138
2022-06-28,140288.16193636387,139201.07547946146,136907.27481880886
2022-06-29,140030.59260828668,139622.18740989082,137322.2941360599
2022-06-30,139943.11321712146,139132.12817055127,136862.97353879036
2022-07-01,139103.92411736646,139871.89213718657,137570.90031706364
2022-07-05,139037.12159681635,140032.64210944207,137734.49897763337
2022-07-06,136455.55778142385,139395.41592039925,137118.30596903554
2022-07-07,134412.07732135517,140179.6849228959,137911.70201066314
2022-07-08,134534.2700023879,139888.2601000309,137630.2099934744
2022-07-11,134574.23603737797,139298.3281303746,137008.75878806433
2022-07-12,133828.08336313994,138841.3886790822,136551.0626936634
2022-07-13,133315.11289265682,139084.6200364891,136783.60256704243
2022-07-14,133862.5901766161,138506.28043763147,136228.32859720505
2022-07-15,132246.97241502308,139640.7861788553,137365.56250241873
2022-07-18,132266.15850232495,138906.6814775837,136626.69555295492
2022-07-19,132230.0039577991,140428.13793678963,138158.17510853245
2022-07-20,132646.9049674393,140864.67604300746,138631.83114198758
2022-07-21,131557.47811125717,142447.9159502078,140190.6816802176
2022-07-22,133406.45753124688,142239.2284943249,139933.79697406397
2022-07-25,133480.74179427698,141750.32252184761,139447.27358612893
2022-07-26,133046.60280259396,140851.14643980464,138527.2354614849
2022-07-27,132764.66849222698,142906.86014359797,140590.55754746188
2022-07-28,134127.5443273122,144128.4212323163,141797.96490959334
2022-07-29,135744.6010628276,145079.6630201435,142779.97849294604
2022-08-01,136156.93504954886,145834.47253116177,143487.2462845163
2022-08-02,136925.04277819107,144762.08458084337,142422.68007124367
